,Year,Month,Nominal-GDP-Index,Real-GDP-Index,Year_Month
216,2010,01,14670.122,15363.578000000001,2010-01
217,2010,02,14691.393999999998,15394.091999999999,2010-02
218,2010,03,14802.534,15487.863000000001,2010-03
219,2010,04,14899.668,15553.91,2010-04
220,2010,05,14899.436000000002,15521.934,2010-05
221,2010,06,14979.19,15596.358,2010-06
222,2010,07,15049.24,15665.702,2010-07
223,2010,08,15049.662,15639.071000000002,2010-08
224,2010,09,15140.848999999998,15711.431999999999,2010-09
225,2010,10,15216.456,15748.101999999999,2010-10
226,2010,11,15196.26,15703.888,2010-11
227,2010,12,15309.813,15800.184,2010-12
228,2011,01,15185.417,15650.917,2011-01
229,2011,02,15219.844,15638.255,2011-02
230,2011,03,15452.223,15849.22,2011-03
231,2011,04,15523.361,15890.077,2011-04
232,2011,05,15505.104,15818.142,2011-05
233,2011,06,15460.101999999999,15767.337,2011-06
234,2011,07,15554.917,15809.638,2011-07
235,2011,08,15660.611,15886.013,2011-08
236,2011,09,15560.021999999999,15766.733,2011-09
237,2011,10,15810.723,16035.794,2011-10
238,2011,11,15792.242,15989.838,2011-11
239,2011,12,15786.413999999999,15986.969,2011-12
240,2012,01,15890.823,16034.795,2012-01
241,2012,02,16167.743,16269.715,2012-02
242,2012,03,16000.708999999999,16083.636999999999,2012-03
243,2012,04,16130.621000000001,16183.036,2012-04
244,2012,05,16168.788999999999,16222.008,2012-05
245,2012,06,16157.36,16191.336000000001,2012-06
246,2012,07,16263.784,16268.198999999999,2012-07
247,2012,08,16203.97,16168.585,2012-08
248,2012,09,16303.698999999999,16225.223999999998,2012-09
249,2012,10,16272.542,16157.389,2012-10
250,2012,11,16343.062,16232.001,2012-11
251,2012,12,16460.985,16328.158000000001,2012-12
252,2013,01,16613.163,16453.877,2013-01
253,2013,02,16518.523999999998,16315.025,2013-02
254,2013,03,16577.086,16380.322,2013-03
255,2013,04,16583.713,16384.67,2013-04
256,2013,05,16593.342,16362.472,2013-05
257,2013,06,16736.723,16462.7,2013-06
258,2013,07,16785.43,16490.532,2013-07
259,2013,08,16872.701,16556.245,2013-08
260,2013,09,16888.113,16548.607,2013-09
261,2013,10,16997.071,16624.785,2013-10
262,2013,11,17119.311,16699.941000000003,2013-11
263,2013,12,17133.029,16666.567,2013-12
264,2014,01,17036.73,16571.103,2014-01
265,2014,02,17126.578999999998,16645.463,2014-02
266,2014,03,17150.357,16633.418999999998,2014-03
267,2014,04,17322.482,16774.072,2014-04
268,2014,05,17445.896,16838.281000000003,2014-05
269,2014,06,17530.348,16912.447,2014-06
270,2014,07,17667.938000000002,17005.048,2014-07
271,2014,08,17777.464,17100.905,2014-08
272,2014,09,17719.568,17035.744,2014-09
273,2014,10,17836.762,17137.896,2014-10
274,2014,11,17867.834,17154.006999999998,2014-11
275,2014,12,17845.14,17137.584,2014-12
276,2015,01,17937.226000000002,17296.827,2015-01
277,2015,02,18071.581000000002,17379.958,2015-02
278,2015,03,18001.39,17240.608,2015-03
279,2015,04,18186.244,17439.531000000003,2015-04
280,2015,05,18206.645,17389.682,2015-05
281,2015,06,18277.842,17439.518,2015-06
282,2015,07,18315.506999999998,17454.731,2015-07
283,2015,08,18329.575,17461.601000000002,2015-08
284,2015,09,18397.193,17542.061,2015-09
285,2015,10,18401.067,17540.54,2015-10
286,2015,11,18343.946,17476.535,2015-11
287,2015,12,18391.397,17525.455,2015-12
288,2016,01,18413.804,17571.328,2016-01
289,2016,02,18394.388,17552.353,2016-02
290,2016,03,18602.275,17716.476000000002,2016-03
291,2016,04,18643.572,17696.735,2016-04
292,2016,05,18615.378,17616.471,2016-05
293,2016,06,18709.671000000002,17691.572,2016-06
294,2016,07,18693.265,17649.256,2016-07
295,2016,08,18826.97,17774.396,2016-08
296,2016,09,18943.842,17869.613999999998,2016-09
297,2016,10,18911.527,17791.263,2016-10
298,2016,11,19065.609,17916.043999999998,2016-11
299,2016,12,19120.603,17921.409,2016-12
300,2017,01,19155.439,17910.289,2017-01
301,2017,02,19211.536,17947.682,2017-02
302,2017,03,19345.331000000002,18074.218,2017-03
303,2017,04,19247.477,17942.691000000003,2017-04
304,2017,05,19394.325,18069.268,2017-05
305,2017,06,19495.893,18150.608,2017-06
306,2017,07,19501.755,18125.425,2017-07
307,2017,08,19597.035,18175.444,2017-08
308,2017,09,19753.074,18256.417,2017-09
309,2017,10,19788.421000000002,18256.724,2017-10
310,2017,11,19990.385,18408.846,2017-11
311,2017,12,20035.083,18413.098,2017-12
312,2018,01,20154.53,18489.286,2018-01
313,2018,02,20271.915,18559.548,2018-02
314,2018,03,20300.2,18543.006,2018-03
315,2018,,20438.746,18606.506,
316,2018,05,20602.012,18690.8,2018-05
317,2018,06,20617.2,18666.302,2018-06
318,2018,07,20680.67,18702.889,2018-07
319,2018,08,20761.657,18782.429,2018-08
320,2018,09,20785.842,18772.249,2018-09
321,2018,10,20916.322,18831.102,2018-10
322,2018,11,20876.542,18777.558999999997,2018-11
323,2018,12,20936.696,18833.621,2018-12
324,2019,01,21115.336,18981.396,2019-01
325,2019,02,21099.728,18939.314,2019-02
326,2019,03,21130.862999999998,18930.811,2019-03
327,2019,04,21252.498,18970.846999999998,2019-04
328,2019,05,21334.091,19026.085,2019-05
329,2019,06,21403.042,19065.336,2019-06
330,2019,07,21520.655,19133.548,2019-07
331,2019,08,21506.121,19107.658,2019-08
332,2019,09,21594.123,19184.482,2019-09
333,2019,10,21705.112999999998,19244.068,2019-10
334,2019,11,21723.048,19234.945,2019-11
335,2019,12,21814.039,19283.297,2019-12
336,2020,01,21845.847999999998,19263.831000000002,2020-01
337,2020,02,22007.732000000004,19404.558,2020-02
338,2020,03,20829.721,18365.189,2020-03
339,2020,04,18580.499,16515.284,2020-04
340,2020,05,19415.061,17234.898,2020-05
341,2020,06,20564.74,18160.218999999997,2020-06
342,2020,07,20976.162999999997,18453.268,2020-07
343,2020,08,21151.857000000004,18576.42,2020-08
344,2020,09,21378.292999999998,18726.64,2020-09
345,2020,10,21555.032000000003,18862.228,2020-10
